vendor,rule_id,src,dst,service,action,reason,severity
fortinet,10002,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",dhcp-request,Accept,,
fortinet,10003,CLIENT1DAAS_450,"DAAS_460
DAAS_431
DAAS_423
DAAS_451
DAAS_429
DAAS_422
CDAAS_455
DAAS_424
DAAS_441
DAAS_453
DAAS_442
DAAS_463
DAAS_461
DAAS_443
AAS_432
DAAS_428
DAAS_462
DAAS_427
DAAS_444
DAAS_433
DAAS_445
DAAS_456
DAAS_446
DAAS_421
CDAAS_447
DAAS_454
DAAS_425
DAAS_448
DAAS_449
THIRDPARTY1DAAS_420
THIRDPARTY1JMPDAAS_438
DAAS_458
DAAS_459
Trnst-DAAS_1010
CLIENT1DAAS_450
DaaS-PRD-VL0",dhcp-reply,Accept,,
fortinet,10009,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","dhcp-relay
dhcp-req-lolmodule",Accept,,
fortinet,10010,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","bootp
dhcp-lolmod-68",Accept,,
fortinet,10022,CLIENT1DAAS_450,"DR-DAAS_VLAN4
IN-DaaS-VL0
PROD-DaaS1","http
https",Accept,,
fortinet,10082,CLIENT1DAAS_450,DAASNETS_400,TCP_8383,Accept,,
fortinet,10084,CLIENT1DAAS_450,DAASNETS_400,TCP_54322,Accept,,
fortinet,10103,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",microsoft-ds,Accept,,
fortinet,10104,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",TCP_1868,Accept,,
fortinet,10105,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","TCP_135
TCP_27000
TCP_7279
tcp-high-ports",Accept,,
fortinet,10107,CLIENT1DAAS_450,"DAASNETS_400
DR-DAAS_VLAN4
PROD-DaaS1","UDP_443
http
https",Accept,,
fortinet,10108,CLIENT1DAAS_450,DAASNETSDEV_399,https,Accept,,
fortinet,10109,CLIENT1DAAS_450,DAASNETS_400,"TCP_8285-8287
TCP_8288",Accept,,
fortinet,10111,CLIENT1DAAS_450,"DAASNETSDEV_399
DAASNETS_400","TCP_8284
TCP_8285-8287
TCP_8288",Accept,,
fortinet,10120,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","ADports
TCP_464
tcp-high-ports",Accept,,
fortinet,10125,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","Citrix_I
Citrix_I_2598
TCP_49752
UDP_1494
http
http_8080
https",Accept,,
fortinet,10126,CLIENT1DAAS_450,any,https,Accept,,
fortinet,10127,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","UDP_8002
UDP_8004",Accept,,
fortinet,10132,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",https,Accept,,
fortinet,10793,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",https,Accept,,
fortinet,10794,CLIENT1DAAS_450,"DAASNETSDEV_399
DAASNETS_400",https,Accept,,
fortinet,11239,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","NBT_
TCP_135
microsoft-ds",Accept,,
fortinet,11240,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","NBT_
TCP_135
microsoft-ds",Accept,,
fortinet,11245,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1","NBT_
TCP_135
microsoft-ds",Accept,,
fortinet,11302,CLIENT1DAAS_450,"DR-DAAS_VLAN4
Trnst-DAAS_1010
CLIENT1DAAS_450
DaaS-PRD-VL0
PROD-DaaS1","NBT_
TCP_135
microsoft-ds",Accept,,
fortinet,11306,CLIENT1DAAS_450,"DAAS_460
DAAS_431
DAAS_423
DAAS_451
DAAS_429
DAAS_422
CDAAS_455
DAAS_424
WAN-DAAS_21
DAAS_441
DR-DAAS_VLAN4
DAAS_453
EWAN-DAAS_408
DAAS_442
DAAS_463
DAAS_461
DAAS_443
AAS_432
DAAS_428
DAAS_427
DAAS_444
DAAS_433
DAAS_445
DAAS_446
CDAAS_447
DAAS_454
DAAS_425
DAAS_448
DAAS_449
THIRDPARTY1DAAS_420
THIRDPARTY1JMPDAAS_438
DAAS_458
DAAS_459
Trnst-DAAS_1010
CLIENT1DAAS_450
DaaS-PRD-VL0
PROD-DaaS1","NBT_
TCP_135
microsoft-ds",Accept,,
fortinet,11313,CLIENT1DAAS_450,any,"ftp
http
https
ssh",Accept,,
fortinet,11316,CLIENT1DAAS_450,"DAAS_460
DAAS_431
WAN-DAAS_283
DAAS_423
AZR-DAAS_1700
AZR-DAAS_1701
AZR-DAAS_1702
AZR-DAAS_1704
AZR-DAAS_1706
AZR-DAAS_1707
AZR-DAAS_1708
AZR-DAAS_1709
AZR-DAAS_1710
DAAS_451
DAAS_429
DAAS_422
CDAAS_455
DAAS_424
WAN-DAAS_21
DAAS_441
DAASNETSDEV_399
DAASNETS_400
DR-DAAS_VLAN4
DAAS_453
EWAN-DAAS_408
DAAS_442
DAAS_463
DAAS_461
DAAS_443
AAS_432
DAAS_428
DAAS_462
DAAS_427
DAAS_444
DAAS_433
DAAS_445
NOMANS-DAAS_51
DAAS_456
DAAS_446
DAAS_421
CDAAS_447
DAAS_454
DAAS_425
DAAS_448
DAAS_449
THIRDPARTY1DAAS_420
THIRDPARTY1JMPDAAS_438
DAAS_458
DAAS_459
Trnst-DAAS_1010
CLIENT1DAAS_450
DaaS-PRD-VL0
AZR-DAAS_1703
PROD-DaaS1",CP_SSL_Network_Extender,Accept,,
fortinet,ID,Source,Destination,Service,Action,,
fortinet,10003,"DAAS_460
DAAS_431
WAN-DAAS_283
DAAS_423
AZR-DAAS_1700
AZR-DAAS_1701
AZR-DAAS_1702
AZR-DAAS_1704
AZR-DAAS_1706
AZR-DAAS_1707
AZR-DAAS_1708
AZR-DAAS_1709
AZR-DAAS_1710
DAAS_451
DAAS_429
DAAS_422
CDAAS_455
DAAS_424
WAN-DAAS_21
DAAS_441
DAASNETSDEV_399
DAASNETS_400
DR-DAAS_VLAN4
DAAS_453
EWAN-DAAS_408
DAAS_442
DAAS_463
DAAS_461
DAAS_443
AAS_432
DAAS_428
DAAS_462
DAAS_427
DAAS_444
DAAS_433
DAAS_445
NOMANS-DAAS_51
DAAS_456
DAAS_446
DAAS_421
CDAAS_447
DAAS_454
DAAS_425
DAAS_448
DAAS_449
THIRDPARTY1DAAS_420
THIRDPARTY1JMPDAAS_438
DAAS_458
DAAS_459
Trnst-DAAS_1010
CLIENT1DAAS_450
DaaS-PRD-VL0
AZR-DAAS_1703
PROD-DaaS1",CLIENT1DAAS_450,dhcp-reply,Accept,,
fortinet,10004,"DR-DAAS_VLAN4
PROD-DaaS1",CLIENT1DAAS_450,dhcp-reply,Accept,,
fortinet,10006,"DR-DAAS_VLAN4
PROD-DaaS1",CLIENT1DAAS_450,DHCP_Server_Replies_to_Hosts,Accept,,
fortinet,10007,"DR-DAAS_VLAN4
PROD-DaaS1",CLIENT1DAAS_450,"bootp
dhcp-rep-lolmodule",Accept,,
fortinet,10014,"Trnst-DAAS_1010
DaaS-PRD-VL0",CLIENT1DAAS_450,icmp-comms,Accept,,
fortinet,10015,any,CLIENT1DAAS_450,ALL,Deny,,
fortinet,10061,"DAASNETSDEV_399
DAASNETS_400",CLIENT1DAAS_450,"domain-udp_
ldap-ssl",Accept,,
fortinet,10096,"DAASNETSDEV_399
DAASNETS_400",CLIENT1DAAS_450,"Citrix_I
Citrix_I_2598
UDP_1494
UDP_2598
http
https",Accept,,
fortinet,10106,"DAASNETS_400
DR-DAAS_VLAN4
PROD-DaaS1",CLIENT1DAAS_450,"Citrix_I
Citrix_I_2598
MS_Terminal_Services
TCP-49152_65535
TCP_135
TCP_138
TCP_5985
TCP_8008
UDP-49152_65535
UDP_1494
UDP_2598
UDP_49152-50795
http
https
icmp-comms
natagram",Accept,,
fortinet,10110,DAASNETS_400,CLIENT1DAAS_450,TCP_8285-8287,Accept,,
fortinet,10124,"DR-DAAS_VLAN4
PROD-DaaS1",CLIENT1DAAS_450,"Citrix_I
Citrix_I_2598
TCP_49752
UDP_1494
http
http_8080
https",Accept,,
fortinet,10157,"WAN-DAAS_21
DR-DAAS_VLAN4
EWAN-DAAS_408
Trnst-DAAS_1010
DaaS-PRD-VL0
PROD-DaaS1",CLIENT1DAAS_450,"Citrix_I
Citrix_I_2598
UDP_16500-16509",Accept,,
