vendor,rule_id,src,dst,service,action,reason,severity
sophos,10009,Direction-Location-LAN_MFC-Printer Direction-Location-Mgmt-ESX [Network] DirectionLocation_Scanner,LAN_SMTP REF_NetDnsExchangeme3,SMTP,accept,,
sophos,10025,location_SRA_INT SRA_EXT,Direction-Location-LAN [Network],Microsoft Terminal Services [RDP] Microsoft Terminal Services [UDP],accept,,
sophos,10031,Direction-Location-LAN [Network],system_10.80.100.0,Microsoft Remote Desktop [RDP] Microsoft Terminal Services [RDP],accept,,
sophos,10032,REF_NetDnssystem3,GRP_Cities-System-App-Servers,GRP_Terminal_Services,accept,,
sophos,10044,System3_172.16.1.1,Direction-Location-LAN [Network],Microsoft Terminal Services [RDP] Microsoft Terminal Services [UDP],accept,,
sophos,10045,REF_NetDnsLanLocationarra2 REF_NetDnsLanLocationarra22 REF_NetDnsLanLocationarra23 REF_NetDnsLanLocationarra33 REF_NetDnsLanLocationarra35,DMZ_2_192.168.2.123,Microsoft Terminal Services [RDP] Microsoft Terminal Services [UDP],accept,,
sophos,10023,Monitoring_172.16.0.1,all,GRP_NETBIOS SSH TCP_445 TCP_5985 TCP_5986 ping,accept,,
sophos,10026,location_WLAN-Staff location_LAN,Direction-Location-LAN [Network],GRP_AD_Connectivity GRP_HTTP,accept,,
sophos,48,Direction-Location-LAN [Network] Direction-Location-Voice [Network],location_LAN,DNS LDAP LDAP-SSL LDAP_UDP GRP_AD_Connectivity Windows AD,accept,LAN to AD and DNS servers,
sophos,10019,Direction-Location-LAN [Network],Internet IPv4 Internet IPv6,HTTP HTTPS SSH,accept,,
sophos,10015,LAN_10.1.100.100,Direction-Location-LAN [Network] Direction-Location-Mgmt-ESX [Network],GRP_ServiceDeskScanning,accept,,
sophos,10030,Direction-Location-LAN [Network],systemDC_10.80.128.19 system_10.80.128.20 system_10.80.128.9 system_10.80.45.15 system_10.90.30.4 system_10.90.30.5,LDAP LDAP-SSL,accept,,
sophos,10036,DirectionLocation_Scanner Soutyh-Location-LAN_Printer01,LocPark_NPFS01.hosting.client2.com.au system_10.80.118.0,GRP_NETBIOS TCP_445,accept,,
sophos,10043,System3_172.16.90.100,Direction-Location-Mgmt-ESX [Network],SSH,accept,,
sophos,10012,location_LAN Direction-Location-LAN [Network],location_LAN Direction-Location-LAN [Network],ALL,accept,,
sophos,10001,LAN_10.1.1.170,all,Any,accept,,
sophos,10016,GRP_Nadmin-Access,Direction-Location-IP-WAN [Network] Direction-Location-LAN [Network] Direction-Location-Mgmt-ESX [Network] Direction-Location-Voice [Network],ALL,accept,,
sophos,10018,NDC_VPN-Pool-SSL,Direction-Location-IP-WAN [Network] Direction-Location-LAN [Network] Direction-Location-Mgmt-ESX [Network] Direction-Location-Voice [Network],ALL,accept,,
sophos,10035,NDC-Voice Direction-Location-Voice [Network],NDC-Voice Direction-Location-Voice [Network],Any,accept,,
sophos,49,Monitoring-Large_172.16.50.190,Direction-Location-IP-WAN [Network],TCP_541,accept,FortiManager to Location Firewall,
sophos,10002,DirectionLocation-SW01_192.168.200.100,LAN_10.1.1.168,UDP_1070,accept,,
sophos,10003,all,LAN_10.1.1.168,TCP_5508 TCP_6608 TCP_8037,accept,,
sophos,10004,all,REF_NetDnsWanauboots REF_NetDnsWanaudatai REF_NetDnsWanaudeplo REF_NetDnsWanauendpo REF_NetDnsWanaustora REF_NetDnsWancrlsca1,HTTP HTTPS,accept,,
sophos,10005,all,REF_NetDnsWancontent REF_NetDnsWancrlgoda REF_NetDnsWandev5con REF_NetDnsWandevices REF_NetDnsWandevprod REF_NetDnsWandevprod2 REF_NetDnsWandevprod3 REF_NetDnsWanoscpgod REF_NetDnsWanupdates,HTTP HTTPS TCP_54443,accept,,
sophos,10006,Private-Range-A_10.0.0.0/8 Private-Range-B_172.16.0.0/12 Private-Range-C_192.168.0.0/16,REF_NetDnsWannocinte,HTTPS SSH TCP_1234 TCP_1235 TCP_5280,accept,,
