vendor,rule_id,src,dst,service,action,reason,severity
fortinet,1,LAN_Subnet,Web_DMZ,HTTP,HTTPS,none,
fortinet,2,LAN_Subnet,DB_DMZ,MSSQL,accept,App tier to DB,
fortinet,3,LAN_Subnet,Any,DNS,accept,Internal DNS to internet,
fortinet,4,Web_DMZ,DB_DMZ,MSSQL,accept,Web to DB,
fortinet,5,Guest_WiFi,LAN_Subnet,ANY,deny,Guest isolation,
fortinet,6,Guest_WiFi,Web_DMZ,HTTP,deny,Block guest HTTP,
fortinet,7,LAN_Subnet,Any,ANY,accept,Outbound internet - broad,
fortinet,8,Any,LAN_Subnet,ICMP,deny,Block inbound ICMP,
fortinet,9,VPN_Admins,LAN_Subnet,RDP,SSH,none,
fortinet,10,VPN_Admins,Web_DMZ,HTTPS,accept,VPN admin web mgmt,
fortinet,11,Web_DMZ,Any,SMTP,accept,Mail relay,
fortinet,12,DB_DMZ,Any,NTP,accept,Time sync,
fortinet,13,192.168.10.100,Any,ANY,accept,Bypass for legacy host,
fortinet,14,LAN_Subnet,SocialMedia,HTTPS,deny,Block FB/Twitter at work,
fortinet,15,LAN_Subnet,Any,FTP,deny,Block outbound FTP,
fortinet,16,LAN_Subnet,Web_DMZ,SSH,accept,Developer SSH access,
fortinet,17,Web_DMZ,LAN_Subnet,SNMP,deny,Block SNMP from DMZ,
fortinet,18,DB_DMZ,Web_DMZ,ICMP,deny,No ping DMZ,
fortinet,19,Any,Web_DMZ,HTTPS,accept,Published web server,
fortinet,20,Any,LAN_Subnet,ANY,deny,Default deny inbound,
