vendor,rule_id,src,dst,service,action,reason,severity
unknown,1071741838,any,any,ALL,Deny,,
unknown,1071741843,edge-loopback,edge-vpnoverlay,ALL_ICMP,Accept,,
unknown,1071741844,edge-vpnoverlay,edge-loopback,ALL_ICMP,Accept,,
unknown,1071741846,edge-loopback,edge-routing,ALL_ICMP,Accept,,
unknown,1071741845,edge-routing,edge-loopback,ALL_ICMP,Accept,,
unknown,1071741837,any,any,ALL,Deny,,
unknown,1071741847,edge-routing,edge-routing,ALL,Accept,,
unknown,1071741835,edge-routing,edge-azure,ALL,Accept,,
unknown,1071741836,edge-azure,edge-routing,ALL,Accept,,
unknown,1071741827,edge-vpnoverlay,edge-vpnoverlay,ALL,Accept,,
unknown,1071741825,edge-vpnoverlay,edge-routing,ALL,Accept,,
unknown,1071741826,edge-routing,edge-vpnoverlay,ALL,Accept,,
unknown,1071741848,edge-overlay,edge-routing,ALL,Accept,,
unknown,1071741849,edge-routing,edge-overlay,ALL,Accept,,
unknown,1071741850,edge-vpnoverlay,edge-underlay,ALL,Accept,,
unknown,1071741839,ssl.root,edge-vpnunderlay,ALL,Accept,,
unknown,,any,any,ALL,Deny,,
