vendor,rule_id,src,dst,service,action,reason,severity
unknown,1071741838,any,any,ALL,Deny,,
unknown,1071741867,spoke-overlay,spoke-loopback,"ALL_ICMP
BGP",Accept,,
unknown,1071741868,spoke-loopback,spoke-overlay,"ALL_ICMP
BGP",Accept,,
unknown,1071741837,any,any,ALL,Deny,,
unknown,1071741828,any,spoke-underlay,ALL,Accept,,
unknown,1071741829,spoke-legacynet,spoke-corpnet,ALL,Accept,,
unknown,1071741830,spoke-legacynet,spoke-infranet,ALL,Accept,,
unknown,1071741831,spoke-corpnet,spoke-corpnet,ALL,Accept,,
unknown,1071741834,spoke-corpnet,spoke-infranet,ALL,Accept,,
unknown,1071741860,spoke-legacynet,spoke-overlay,ALL,Accept,,
unknown,1071741841,spoke-legacynet,spoke-overlay,"ALL_ICMP
HTTPS",Accept,,
unknown,1071741859,spoke-legacynet,spoke-overlay,ALL,Accept,,
unknown,1071741858,spoke-overlay,spoke-legacynet,ALL,Accept,,
unknown,1071741857,spoke-overlay,spoke-legacynet,ALL,Accept,,
unknown,1071741861,spoke-legacynet,spoke-underlay,ALL,Accept,,
unknown,1071741853,spoke-corpnet,spoke-overlay,ALL,Accept,,
unknown,1071741842,spoke-corpnet,spoke-overlay,"ALL_ICMP
HTTPS",Accept,,
unknown,1071741854,spoke-corpnet,spoke-overlay,ALL,Accept,,
unknown,1071741851,spoke-overlay,spoke-corpnet,ALL,Accept,,
unknown,1071741852,spoke-overlay,spoke-corpnet,ALL,Accept,,
unknown,1071741864,spoke-infranet,spoke-overlay,ALL,Accept,,
unknown,1071741865,spoke-infranet,spoke-overlay,ALL,Accept,,
unknown,1071741862,spoke-overlay,spoke-infranet,ALL,Accept,,
unknown,1071741863,spoke-overlay,spoke-infranet,ALL,Accept,,
unknown,1071741832,spoke-legacynet,spoke-overlay,ALL,Accept,,
unknown,1071741833,spoke-overlay,spoke-legacynet,ALL,Accept,,
unknown,1071741869,spoke-corpnet,spoke-underlay,ALL,Accept,,
unknown,1071741855,spoke-guestnet,spoke-underlay,ALL,Accept,,
unknown,1071741856,spoke-infranet,spoke-underlay,ALL,Accept,,
unknown,,any,any,ALL,Deny,,
