"num,name,source,destination,service,action,track,install_on,enabled,comments",,,,,,,
"1,Branch_to_HQ_Web,""Branch_LAN"",""HQ_LAN"",""HTTPS"",Accept,Log,FW2,True,""Branch to HQ apps""",,,,,,,
"2,HQ_to_Branch_SMB,""HQ_LAN"",""Branch_LAN"",""SMB"",Accept,Log,FW2,True,""HQ file share""",,,,,,,
"3,Branch_DNS,""Branch_LAN"",""Any"",""DNS"",Accept,Log,FW2,True,""DNS queries""",,,,,,,
"4,Branch_NTP,""Branch_LAN"",""Any"",""NTP"",Accept,None,FW2,True,""NTP sync""",,,,,,,
"5,Branch_HTTP,""Branch_LAN"",""Any"",""HTTP"",Accept,Log,FW2,True,""Web browsing""",,,,,,,
"6,Branch_HTTPS,""Branch_LAN"",""Any"",""HTTPS"",Accept,Log,FW2,True,""Secure web browsing""",,,,,,,
"7,Block_Branch_FTP,""Branch_LAN"",""Any"",""FTP"",Drop,Log,FW2,True,""Block FTP outbound""",,,,,,,
"8,Guest_HTTP,""Guest_WiFi"",""Any"",""HTTP"",Accept,None,FW2,True,""Guest web""",,,,,,,
"9,Guest_HTTPS,""Guest_WiFi"",""Any"",""HTTPS"",Accept,None,FW2,True,""Guest secure web""",,,,,,,
"10,Block_Guest_to_Branch,""Guest_WiFi"",""Branch_LAN"",""Any"",Drop,None,FW2,True,""Guest isolation""",,,,,,,
"11,Block_Guest_to_HQ,""Guest_WiFi"",""HQ_LAN"",""Any"",Drop,None,FW2,True,""Guest no HQ""",,,,,,,
"12,VPN_Admin_SSH,""VPN_Admins"",""Branch_Servers"",""SSH"",Accept,Log,FW2,True,""Admin remote SSH""",,,,,,,
"13,VPN_Admin_RDP,""VPN_Admins"",""Branch_Servers"",""RDP"",Accept,Log,FW2,True,""Admin remote RDP""",,,,,,,
"14,Branch_SMTP,""Branch_Mail"",""Any"",""SMTP"",Accept,Log,FW2,True,""Branch mail relay""",,,,,,,
"15,Block_Internet_RDP,""Any"",""Branch_LAN"",""RDP"",Drop,Log,FW2,True,""No inbound RDP""",,,,,,,
"16,Block_Internet_SSH,""Any"",""Branch_LAN"",""SSH"",Drop,Log,FW2,True,""No inbound SSH""",,,,,,,
"17,Guest_NTP,""Guest_WiFi"",""Any"",""NTP"",Accept,None,FW2,True,""Guest NTP sync""",,,,,,,
"18,Block_Guest_SMTP,""Guest_WiFi"",""Any"",""SMTP"",Drop,None,FW2,True,""Stop guest SMTP""",,,,,,,
"19,Branch_Backup_to_HQ,""Branch_Backup"",""HQ_Backup"",""SMB"",Accept,Log,FW2,True,""Backup sync""",,,,,,,
"20,Default_Deny,""Any"",""Any"",""Any"",Drop,None,FW2,True,""Fallback deny""",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,\
