"policyid,srcintf,dstintf,srcaddr,dstaddr,service,action,schedule,nat,comments"
"1,port1,port5,""Branch_LAN"",""Any"",""ANY"",accept,always,enabled,""General internet"""
"2,port1,port2,""Branch_LAN"",""HQ_LAN"",""HTTPS,RDP"",accept,always,none,""Business apps via VPN"""
"3,port2,port1,""HQ_LAN"",""Branch_LAN"",""FileShare"",accept,always,none,""HQ access to branch"""
"4,port3,port5,""Guest_WiFi"",""Any"",""HTTP,HTTPS"",accept,always,enabled,""Guest internet"""
"5,port3,port1,""Guest_WiFi"",""Branch_LAN"",""ANY"",deny,always,none,""Block guest to branch"""
"6,port3,port2,""Guest_WiFi"",""HQ_LAN"",""ANY"",deny,always,none,""Block guest to HQ"""
"7,port1,port5,""Branch_LAN"",""Any"",""SMTP"",accept,always,enabled,""Mail to internet"""
"8,port1,port5,""Branch_LAN"",""Any"",""FTP"",deny,always,none,""Block FTP"""
"9,port2,port1,""HQ_LAN"",""Branch_LAN"",""RDP"",accept,workhours,none,""HQ helpdesk"""
"10,port5,port1,""Any"",""Branch_LAN"",""ICMP"",deny,always,none,""Block inbound ping"""
"11,port1,port2,""Branch_LAN"",""HQ_LAN"",""ICMP"",accept,always,none,""ICMP allowed inside VPN"""
"12,port1,port5,""Branch_LAN"",""Any"",""DNS"",accept,always,enabled,""DNS queries"""
"13,port1,port5,""Branch_LAN"",""Any"",""NTP"",accept,always,enabled,""Time sync"""
"14,port5,port1,""Any"",""192.168.10.10"",""HTTPS"",accept,always,enabled,""Remote SSL portal"""
"15,port5,port1,""Any"",""192.168.10.20"",""RDP"",deny,always,none,""Block direct RDP"""
"16,port5,port1,""Any"",""Branch_LAN"",""SNMP"",deny,always,none,""Block inbound SNMP"""
"17,port1,port5,""Branch_LAN"",""Any"",""SSH"",deny,always,none,""Block outbound SSH"""
"18,port1,port2,""Branch_LAN"",""HQ_LAN"",""SQL"",accept,always,none,""DB sync"""
"19,port2,port1,""HQ_LAN"",""Branch_LAN"",""SQL"",accept,always,none,""DB sync reverse"""
"20,port5,port1,""Any"",""Branch_LAN"",""ANY"",deny,always,none,""Default inbound deny"""
